Expense,Category
Bought a bus ticket,Transport
Ordered pizza,Food
Bought clothes,Personal Expense
Bought furniture,Housing
Filed tax returns,Taxes
Property tax payment,Taxes
Paid for a video game,Entertainment
Bought a book,Entertainment
Paid utility bills,Housing
Bought cosmetics,Personal Expense
Uber ride,Transport
Purchased dairy products,Grocery
Bought gifts,Miscellaneous
Bought school supplies,Education
Paid for gym membership,Personal Expense
Paid for repairs,Miscellaneous
Renovated kitchen,Housing
Bought cosmetics,Personal Expense
Bought fruits,Grocery
Scheduled surgery,Medical
Paid for online classes,Education
Visited a spa,Personal Expense
Bought bonds,saving
Ate a burger,Food
Visited a dentist,Medical
Fuelled the car,Transport
Paid GST,Taxes
Bought snacks,Grocery
Ordered groceries online,Grocery
Paid income tax,Taxes
Visited a spa,Personal Expense
Ordered groceries online,Grocery
Purchased coffee,Food
Visited a spa,Personal Expense
Mortgage payment,Housing
Bought bonds,saving
Bought a gadget,Miscellaneous
Bought a gadget,Miscellaneous
Property tax payment,Taxes
Paid for online classes,Education
Bought a gadget,Miscellaneous
Paid for online classes,Education
Visited a spa,Personal Expense
Bought vegetables,Grocery
Attended a concert,Entertainment
Advanced money for rent,Lent Money
Filed tax returns,Taxes
Bought cosmetics,Personal Expense
Bought books,Education
Paid GST,Taxes
Provided funds to a family member,Lent Money
Loaned money for a project,Lent Money
Uber ride,Transport
Bought gifts,Miscellaneous
Lent money to a friend,Lent Money
Bought a bus ticket,Transport
Renovated kitchen,Housing
Subscribed to a streaming service,Entertainment
Bought furniture,Housing
Advanced money for rent,Lent Money
Paid for repairs,Miscellaneous
Paid income tax,Taxes
Bought bonds,saving
Bought groceries,Food
Contributed to retirement fund,saving
Bought medicines,Medical
Bought furniture,Housing
got milk,grocery
paid taxes,taxes
money transfer,saving
volunteer donation,miscellaneous
bought fragrance,personal expense
bought vegetables,grocery
visited clinic,medical
school fees,education
lent money to brother,lent money
house maintenance ,taxes
mutual funds,saving
Bought milk,grocery
Sales tax,taxes
photography classes,miscellaneous
Sales tax,taxes
birthday gift,miscellaneous
coffee at CCD,food
Lent money to a friend,lent money
bus pass,transport
bus ticket,transport
went clothes shopping,personal expense
Bought medicine,medical
income tax,taxes
Online course,education
Bought a video game,entertainment
Added to emergency fund,saving
tea,food
booked fixed deposit,saving
Paid rent,housing
Movie tickets,entertainment
electrician,housing
Invested in bonds,saving
fixed deposit,saving
Enrolled in a workshop,education
Deposited in mutual funds,saving
Health checkup,medical
Charity donation,miscellaneous
Paid income tax,taxes
Lunch with classmates,food
netflix,entertainment
new flat,housing
Bought a book,entertainment
auto to college,transport
gave money to friend,lent money
Bought a book,entertainment
Haircut,personal expense
Lent money to a classmate,lent money
Lent money to a friend,lent money
Transferred money to savings account,saving
stationary,miscellaneous
Car service,transport
Sales tax,taxes
Weekly grocery shopping,grocery
Manicure,personal expense
starbucks coffee,food
Lunch with old friends,food
gift for girlfriend,miscellaneous
Bought vitamins,medical
Car service,transport
Bought fruits,grocery
tuition fees,education
grocery shopping,grocery
Deposited in mutual funds,saving
Doctor visit,medical
Transferred to savings,saving
House maintenance fee,housing
Transferred to savings,saving
Dinner at a fancy restaurant,food
course,education
Deposited in mutual funds,saving
workshop,education
comic book,entertainment
Invested in a savings bond,saving
Bought textbooks,education
house emi payment,housing
petrol,transport
Concert tickets,entertainment
bike repair,transport
Enrolled in a workshop,education
Invested in a savings bond,saving
Invested in a savings bond,saving
down payment on house,housing
Online course,education
Enrolled in a workshop,education
Paid tuition fees,education
Mortgage payment,housing
Ola to the office,transport
Bought textbooks,education
Office supplies,miscellaneous
Paid for school supplies,education
Added to emergency fund,saving
Lent money to a friend,lent money
Savings deposit,saving
dentist visit,medical
Doctor visit,medical
Bought cooking stuff,grocery
Savings deposit,saving
Bought textbooks,education
Bought medicine,medical
train tickets,transport
Transferred money to savings account,saving
Added to emergency fund,saving
Bought a perfume,personal expense
Movie tickets,entertainment
Gave a loan to family,lent money
Bought a bus ticket,transport
Added to emergency fund,saving
Haircut,personal expense
Bought a video game,entertainment
Health checkup,medical
Transferred money to savings account,saving
Car service,transport
Paid rent,housing
paintig,housing
Paid tuition fees,education
Bought a gift,miscellaneous
Filed tax return,taxes
Bought vitamins,medical
VAT payment,taxes
Hospital bill,medical
Savings deposit,saving
Gave a loan to family,lent money
Transferred to savings,saving
House repair,housing
Added to emergency fund,saving
Got some snacks,grocery
Filed tax return,taxes
burgers and steaks,food
Lent money to a colleague,lent money
Bought vegetables,grocery
breakfast,food
House repair,housing
Office supplies,miscellaneous
Sales tax,taxes
Dinner at a restaurant,food
Enrolled in a workshop,education
Dinner at a restaurant,food
Enrolled in a workshop,education
Transferred to savings,saving
Uber to the office,transport
Concert tickets,entertainment
Bought textbooks,education
Doctor visit,medical
hot wheels,miscellaneous
Haircut,personal expense
took car to work,transport
Metro fare,transport
Online course,education
Doctor visit,medical
Property tax payment,taxes
House maintenance,housing
Hotstar,entertainment
Paid for school supplies,education
Filled gas,transport
Health checkup,medical
Haircut,personal expense
Bought medicine,medical
Lent money to a colleague,lent money
Bought a video game,entertainment
online hands on workshop,education
chicken tikka masala,food
Bought medicine,medical
Charity donation,miscellaneous
Filled gas,transport
Paid rent,housing
Paid income tax,taxes
Bought milk,grocery
Invested in a savings bond,saving
Invested in a savings bond,saving
Added to emergency fund,saving
Streaming subscription,entertainment
Savings deposit,saving
House repair,housing
Health checkup,medical
Paid for school supplies,education
Bought a new apartment,housing
Bought vitamins,medical
Gave a loan to family,lent money
Bought a gift,miscellaneous
Bought a new apartment,housing
Savings deposit,saving
Paid for photography,miscellaneous
Haircut,personal expense
Bought a bus ticket,transport
Mortgage payment,housing
Bought vegetables,grocery
Lunch with colleagues,food
Bought medicine,medical
House repair,housing
Bought a new apartment,housing
Bought a pen,miscellaneous
Office supplies,miscellaneous
Bought a pen,miscellaneous
Enrolled in a workshop,education
Savings deposit,saving
Invested in a savings bond,saving
Bought a pen,miscellaneous
Lent money to a colleague,lent money
Transferred money to savings account,saving
Property tax payment,taxes
Manicure,personal expense
Bought milk,grocery
Savings deposit,saving
Gave a loan to family,lent money
Lunch with colleagues,food
Lent money to a colleague,lent money
Lent money to a friend,lent money
Ate a burger,food
Bought a perfume,personal expense
Haircut,personal expense
Bought a new apartment,housing
Savings deposit,saving
Lunch with colleagues,food
Weekly grocery shopping,grocery
Enrolled in a workshop,education
Bought a sandwich,food
got a massager ,personal expense
Charity donation,miscellaneous
Gave a loan to family,lent money
Added to emergency fund,saving
tea leaves,grocery
Gave a loan to family,lent money
Added to emergency fund,saving
Car service,transport
Lunch with colleagues,food
Weekly grocery shopping,grocery
Bought a pen,miscellaneous
dosa,food
VAT payment,taxes
Paid rent,housing
Streaming subscription,entertainment
Streaming subscription,entertainment
Invested in a savings bond,saving
Lent money to a friend,lent money
Manicure,personal expense
Savings deposit,saving
Manicure,personal expense
Bought fruits,grocery
Transferred money to savings account,saving
Bought milk,grocery
Transferred to savings,saving
Lent money to a friend,lent money
Bought a pen,miscellaneous
Car service,transport
Filed tax return,taxes
Gave a loan to family,lent money
taxi to the office,transport
Gave a loan to family,lent money
Streaming subscription,entertainment
Enrolled in a workshop,education
Filled gas,transport
Bought vitamins,medical
Went for a health checkup,medical
Paid for Metro fare,transport
Filed Filed tax return,taxes
Bought milk,grocery
Had Lent money to a colleague,lent money
Had Dinner at a restaurant,food
Bought vitamins,medical
Bought a new apartment,housing
Had House maintenance,housing
Had Invested in a savings bond,saving
Had Manicure,personal expense
Had Paid rent,housing
Bought a sandwich,food
Had Sales tax,taxes
Had Concert tickets,entertainment
Had Transferred to savings,saving
Went for a health checkup,medical
Had Movie tickets,entertainment
Had Lunch with colleagues,food
Bought vegetables,grocery
Had Property tax payment,taxes
Had Paid for school supplies,education
Had Added to emergency fund,saving
Had Office supplies,miscellaneous
Had House maintenance,housing
Had Weekly grocery shopping,grocery
Had Transferred to savings,saving
Bought clothes,personal expense
Had Enrolled in a workshop,education
Had Doctor visit,medical
Bought a bus ticket,transport
Paid for Metro fare,transport
Had Ate a burger,food
Bought a sandwich,food
Had Gave a loan to family,lent money
Had Dinner at a restaurant,food
Went for a health checkup,medical
Had Paid rent,housing
Had Haircut,personal expense
Had Mortgage payment,housing
Had Paid tuition fees,education
Had Paid rent,housing
Had Car service,transport
Had Had coffee,food
Bought vegetables,grocery
Had Mortgage payment,housing
Bought a gift,miscellaneous
Had Gave a loan to family,lent money
Had Lunch with colleagues,food
Had Paid for school supplies,education
Had House maintenance,housing
Bought clothes,personal expense
Had Spa treatment,personal expense
Had Paid for school supplies,education
Bought a video game,entertainment
Had Invested in a savings bond,saving
Had Charity donation,miscellaneous
Filed Filed tax return,taxes
Had Online course,education
Bought a pen,miscellaneous
Bought milk,grocery
Had Movie tickets,entertainment
Had Mortgage payment,housing
Had Movie tickets,entertainment
Had Movie tickets,entertainment
Bought milk,grocery
Had Paid income tax,taxes
Had House repair,housing
Had Paid rent,housing
Had Invested in a savings bond,saving
Had Sales tax,taxes
Had Lent money to a colleague,lent money
Had Haircut,personal expense
Had Lent money to a colleague,lent money
Had Lent money to a friend,lent money
Had Lunch with colleagues,food
Bought a perfume,personal expense
Had Transferred money to savings account,saving
Had Transferred money to savings account,saving
Had Paid for photography,miscellaneous
Had Haircut,personal expense
Had Office supplies,miscellaneous
Bought vegetables,grocery
Had Savings deposit,saving
Had Added to emergency fund,saving
Had Had coffee,food
Bought a new apartment,housing
Bought a pen,miscellaneous
Had Got some snacks,grocery
Had Filled gas,transport
Had Paid for school supplies,education
Had Movie tickets,entertainment
Had VAT payment,taxes
Bought a bus ticket,transport
Had Had coffee,food
Bought vegetables,grocery
Bought a bus ticket,transport
Had Dinner at a restaurant,food
Had Deposited in mutual funds,saving
Had Lent money to a colleague,lent money
Had Ate a burger,food
Had Online course,education
Had Transferred money to savings account,saving
Had Paid tuition fees,education
Had Office supplies,miscellaneous
Had Online course,education
Bought vegetables,grocery
Bought a video game,entertainment
Had Hospital bill,medical
Bought a video game,entertainment
Had Spa treatment,personal expense
Had Concert tickets,entertainment
Had Savings deposit,saving
Had Gave a loan to family,lent money
Had Paid for school supplies,education
Had Filled gas,transport
Had VAT payment,taxes
Had Enrolled in a workshop,education
Bought a gift,miscellaneous
Bought a sandwich,food
Had Paid tuition fees,education
Had Lent money to a friend,lent money
Bought a new apartment,housing
Had Paid tuition fees,education
Had Uber to the office,transport
Had Mortgage payment,housing
Bought fruits,grocery
Had Concert tickets,entertainment
Bought a book,entertainment
Had Paid rent,housing
Had Office supplies,miscellaneous
Had Paid for photography,miscellaneous
Had Hospital bill,medical
Bought vitamins,medical
Had Dinner at a restaurant,food
Bought a gift,miscellaneous
Had Savings deposit,saving
Had House repair,housing
Had Manicure,personal expense
Bought clothes,personal expense
Had House repair,housing
Had Transferred to savings,saving
Had Paid income tax,taxes
Had Paid tuition fees,education
Had Property tax payment,taxes
Had Property tax payment,taxes
Had Movie tickets,entertainment
Had Dinner at a restaurant,food
Bought a new apartment,housing
Had House repair,housing
Had Hospital bill,medical
Had Got some snacks,grocery
Had House repair,housing
Had Dinner at a restaurant,food
Had Movie tickets,entertainment
Had Added to emergency fund,saving
Had Mortgage payment,housing
Had Gave a loan to family,lent money
Had Paid for school supplies,education
Had Sales tax,taxes
Had Paid income tax,taxes
Had Ate a burger,food
Had Property tax payment,taxes
Bought fruits,grocery
Had Uber to the office,transport
Had Charity donation,miscellaneous
Bought textbooks,education
Had Property tax payment,taxes
Bought a gift,miscellaneous
Had House maintenance,housing
Had Had coffee,food
Had Added to emergency fund,saving
Had Online course,education
Had House maintenance,housing
Had Paid for school supplies,education
Bought medicine,medical
Had Savings deposit,saving
Had Had coffee,food
Had Filled gas,transport
Had Online course,education
Bought a perfume,personal expense
Had Paid for photography,miscellaneous
Had Gave a loan to family,lent money
Had Office supplies,miscellaneous
Had VAT payment,taxes
Had Doctor visit,medical
Had Deposited in mutual funds,saving
Had Transferred money to savings account,saving
Had Paid income tax,taxes
Had Paid tuition fees,education
Had Lent money to a colleague,lent money
Bought a video game,entertainment
Had Invested in a savings bond,saving
Had Transferred to savings,saving
Had Charity donation,miscellaneous
Had House repair,housing
Paid for Metro fare,transport
Had Lunch with colleagues,food
Had Paid rent,housing
Bought a perfume,personal expense
Bought a video game,entertainment
Had Transferred to savings,saving
Had Haircut,personal expense
Had Mortgage payment,housing
Bought vegetables,grocery
Bought fruits,grocery
Had Charity donation,miscellaneous
Bought a book,entertainment
Had Savings deposit,saving
Had Got some snacks,grocery
Had Filled gas,transport
Went for a health checkup,medical
Had Transferred money to savings account,saving
Had Lent money to a colleague,lent money
Had Invested in a savings bond,saving
Bought fruits,grocery
Had Lent money to a colleague,lent money
Bought a pen,miscellaneous
Bought clothes,personal expense
Had Hospital bill,medical
Had Streaming subscription,entertainment
Had Transferred money to savings account,saving
Had Property tax payment,taxes
Had Lent money to a friend,lent money
Had Office supplies,miscellaneous
Had Ate a burger,food
Had Paid for school supplies,education
Had Uber to the office,transport
Had Online course,education
Had Spa treatment,personal expense
Bought textbooks,education
Had Spa treatment,personal expense
Had Spa treatment,personal expense
Had Manicure,personal expense
Had Had coffee,food
Had Deposited in mutual funds,saving
Had Car service,transport
Bought fruits,grocery
Had Got some snacks,grocery
Had Transferred money to savings account,saving
Had Office supplies,miscellaneous
Bought fruits,grocery
Had Paid for school supplies,education
Bought a new apartment,housing
Bought a pen,miscellaneous
Had Paid income tax,taxes
Bought a pen,miscellaneous
Had Paid tuition fees,education
Bought clothes,personal expense
Bought textbooks,education
Bought a sandwich,food
Car service,transport
Bought clothes,personal expense
Filled gas,transport
Lunch with colleagues,food
Savings deposit,saving
Weekly grocery shopping,grocery
Property tax payment,taxes
Bought medicine,medical
Bought a new apartment,housing
Deposited in mutual funds,saving
Bought a perfume,personal expense
Transferred to savings,saving
Savings deposit,saving
Transferred to savings,saving
Enrolled in a workshop,education
Charity donation,miscellaneous
Car service,transport
Charity donation,miscellaneous
Bought a book,entertainment
Bought medicine,medical
Lent money to a friend,lent money
Deposited in mutual funds,saving
Paid for photography,miscellaneous
Bought medicine,medical
Metro fare,transport
Streaming subscription,entertainment
Car service,transport
Weekly grocery shopping,grocery
Health checkup,medical
Bought vegetables,grocery
Savings deposit,saving
Hospital bill,medical
Streaming subscription,entertainment
House repair,housing
Filed tax return,taxes
Added to emergency fund,saving
Uber to the office,transport
Had coffee,food
Filled gas,transport
Movie tickets,entertainment
Online course,education
Weekly grocery shopping,grocery
Bought a sandwich,food
Added to emergency fund,saving
Lent money to a colleague,lent money
Bought a bus ticket,transport
Gave a loan to family,lent money
Manicure,personal expense
Ate a burger,food
Bought a book,entertainment
Deposited in mutual funds,saving
Sales tax,taxes
House repair,housing
Got some snacks,grocery
Bought vitamins,medical
Bought a gift,miscellaneous
Added to emergency fund,saving
Bought milk,grocery
Gave a loan to family,lent money
Sales tax,taxes
Movie tickets,entertainment
House maintenance,housing
Bought clothes,personal expense
Paid tuition fees,education
Bought a bus ticket,transport
Paid for school supplies,education
Ate a burger,food
Transferred money to savings account,saving
Bought a video game,entertainment
Deposited in mutual funds,saving
VAT payment,taxes
Gave a loan to family,lent money
Metro fare,transport
Concert tickets,entertainment
Gave a loan to family,lent money
Bought textbooks,education
Paid income tax,taxes
Got some snacks,grocery
Bought a book,entertainment
Bought a new apartment,housing
Had coffee,food
Bought a video game,entertainment
Online course,education
Invested in a savings bond,saving
Bought a book,entertainment
Deposited in mutual funds,saving
Transferred money to savings account,saving
Deposited in mutual funds,saving
Concert tickets,entertainment
Transferred money to savings account,saving
Bought medicine,medical
Bought a video game,entertainment
Bought a book,entertainment
Filed tax return,taxes
Lent money to a colleague,lent money
Transferred to savings,saving
Deposited in mutual funds,saving
House repair,housing
Bought a pen,miscellaneous
Spa treatment,personal expense
VAT payment,taxes
Bought a bus ticket,transport
Lent money to a friend,lent money
Charity donation,miscellaneous
Online course,education
Uber to the office,transport
Office supplies,miscellaneous
Bought a new apartment,housing
Paid for photography,miscellaneous
Bought medicine,medical
Spa treatment,personal expense
Charity donation,miscellaneous
Bought clothes,personal expense
Bought a video game,entertainment
Bought a pen,miscellaneous
Uber to the office,transport
Bought vitamins,medical
Car service,transport
Transferred money to savings account,saving
Lent money to a colleague,lent money
Savings deposit,saving
Lunch with colleagues,food
Transferred money to savings account,saving
Savings deposit,saving
Filled gas,transport
Bought a perfume,personal expense
Gave a loan to family,lent money
Lent money to a friend,lent money
Lent money to a colleague,lent money
Got some snacks,grocery
Transferred to savings,saving
Ate a burger,food
Bought vitamins,medical
Weekly grocery shopping,grocery
House maintenance,housing
Manicure,personal expense
Mortgage payment,housing
VAT payment,taxes
Bought a sandwich,food
Paid tuition fees,education
Bought fruits,grocery
Bought a new apartment,housing
Property tax payment,taxes
Bought vitamins,medical
Bought vitamins,medical
Got some snacks,grocery
Streaming subscription,entertainment
Haircut,personal expense
Mortgage payment,housing
Paid rent,housing
Bought a book,entertainment
Lent money to a colleague,lent money
Enrolled in a workshop,education
Filed tax return,taxes
Bought a gift,miscellaneous
Bought a perfume,personal expense
Bought clothes,personal expense
Bought vegetables,grocery
Deposited in mutual funds,saving
House maintenance,housing
Enrolled in a workshop,education
Bought a book,entertainment
Paid income tax,taxes
Added to emergency fund,saving
Movie tickets,entertainment
Bought fruits,grocery
Bought vitamins,medical
Added to emergency fund,saving
Lent money to a colleague,lent money
Bought a bus ticket,transport
Metro fare,transport
Bought a video game,entertainment
Paid for photography,miscellaneous
Metro fare,transport
Manicure,personal expense
Lent money to a friend,lent money
Mortgage payment,housing
Spa treatment,personal expense
Deposited in mutual funds,saving
Transferred to savings,saving
Got some snacks,grocery
Sales tax,taxes
Deposited in mutual funds,saving
Got some snacks,grocery
House maintenance,housing
Transferred to savings,saving
Transferred money to savings account,saving
Hospital bill,medical
Hospital bill,medical
Transferred money to savings account,saving
Had coffee,food
Bought a perfume,personal expense
Bought vegetables,grocery
Online course,education
Deposited in mutual funds,saving
Invested in a savings bond,saving
Bought textbooks,education
Bought medicine,medical
Sales tax,taxes
Deposited in mutual funds,saving
Doctor visit,medical
Car service,transport
VAT payment,taxes
Streaming subscription,entertainment
Weekly grocery shopping,grocery
Filled gas,transport
Weekly grocery shopping,grocery
Paid income tax,taxes
Health checkup,medical
Bought a sandwich,food
Bought a gift,miscellaneous
Gave a loan to family,lent money
Paid tuition fees,education
Filled gas,transport
Paid income tax,taxes
House maintenance,housing
Spa treatment,personal expense
Bought milk,grocery
Invested in a savings bond,saving
Gave a loan to family,lent money
Transferred money to savings account,saving
Mortgage payment,housing
Property tax payment,taxes
Savings deposit,saving
Added to emergency fund,saving
Ate a burger,food
Savings deposit,saving
Got some snacks,grocery
Streaming subscription,entertainment
Paid tuition fees,education
Had coffee,food
Movie tickets,entertainment
VAT payment,taxes
Dinner at a restaurant,food
Bought textbooks,education
Transferred to savings,saving
Bought a bus ticket,transport
Bought a sandwich,food
Transferred to savings,saving
Dinner at a restaurant,food
Bought a sandwich,food
VAT payment,taxes
Gave a loan to family,lent money
Ate a burger,food
Concert tickets,entertainment
Bought milk,grocery
Mortgage payment,housing
Spa treatment,personal expense
Bought a video game,entertainment
Invested in a savings bond,saving
Movie tickets,entertainment
Lent money to a colleague,lent money
Lent money to a colleague,lent money
Bought vitamins,medical
Paid for photography,miscellaneous
Bought a sandwich,food
Movie tickets,entertainment
Charity donation,miscellaneous
Hospital bill,medical
Bought a video game,entertainment
Bought a pen,miscellaneous
Paid tuition fees,education
Bought clothes,personal expense
Savings deposit,saving
Bought a bus ticket,transport
Dinner at a restaurant,food
House repair,housing
Dinner at a restaurant,food
Transferred money to savings account,saving
Sales tax,taxes
Bought a sandwich,food
Car service,transport
Hospital bill,medical
Car service,transport
Haircut,personal expense
Mortgage payment,housing
Property tax payment,taxes
Sales tax,taxes
Doctor visit,medical
Bought clothes,personal expense
House maintenance,housing
Doctor visit,medical
Manicure,personal expense
Savings deposit,saving
Invested in a savings bond,saving
Bought milk,grocery
Filed tax return,taxes
Manicure,personal expense
Online course,education
Metro fare,transport
Bought medicine,medical
Bought a pen,miscellaneous
Filled gas,transport
Bought a perfume,personal expense
Paid income tax,taxes
Bought a sandwich,food
Bought a perfume,personal expense
Savings deposit,saving
Paid tuition fees,education
Mortgage payment,housing
Concert tickets,entertainment
Invested in a savings bond,saving
Transferred to savings,saving
Doctor visit,medical
Sales tax,taxes
Bought a sandwich,food
Bought a sandwich,food
Bought vitamins,medical
Lent money to a friend,lent money
Bought textbooks,education
Paid income tax,taxes
Bought a pen,miscellaneous
Manicure,personal expense
Paid for school supplies,education
Bought a bus ticket,transport
Bought clothes,personal expense
House repair,housing
Uber to the office,transport
Bought clothes,personal expense
Concert tickets,entertainment
Filled gas,transport
Lent money to a friend,lent money
Office supplies,miscellaneous
Lent money to a colleague,lent money
Gave a loan to family,lent money
Filled gas,transport
Weekly grocery shopping,grocery
Concert tickets,entertainment
Lunch with colleagues,food
Transferred money to savings account,saving
Enrolled in a workshop,education
Uber to the office,transport
Bought textbooks,education
Bought a sandwich,food
Online course,education
Sales tax,taxes
Metro fare,transport
Filled gas,transport
Invested in a savings bond,saving
Uber to the office,transport
Paid for photography,miscellaneous
Dinner at a restaurant,food
Lent money to a colleague,lent money
Metro fare,transport
Bought vitamins,medical
Lunch with colleagues,food
Health checkup,medical
Bought a perfume,personal expense
Weekly grocery shopping,grocery
Car service,transport
Concert tickets,entertainment
Spa treatment,personal expense
Lent money to a friend,lent money
Streaming subscription,entertainment
Lent money to a friend,lent money
Transferred money to savings account,saving
Bought clothes,personal expense
Transferred money to savings account,saving
Doctor visit,medical
Car service,transport
Deposited in mutual funds,saving
Deposited in mutual funds,saving
Health checkup,medical
Gave a loan to family,lent money
Filed tax return,taxes
Concert tickets,entertainment
Office supplies,miscellaneous
Bought fruits,grocery
Hospital bill,medical
Dinner at a restaurant,food
Movie tickets,entertainment
Bought a gift,miscellaneous
Bought clothes,personal expense
Spa treatment,personal expense
Uber to the office,transport
Added to emergency fund,saving
Bought a new apartment,housing
Manicure,personal expense
Ate a burger,food
Metro fare,transport
Office supplies,miscellaneous
Paid income tax,taxes
Hospital bill,medical
Health checkup,medical
Weekly grocery shopping,grocery
Streaming subscription,entertainment
Haircut,personal expense
Deposited in mutual funds,saving
Filed tax return,taxes
Had coffee,food
Movie tickets,entertainment
Filed tax return,taxes
Gave a loan to family,lent money
Lent money to a friend,lent money
Concert tickets,entertainment
Savings deposit,saving
Got some snacks,grocery
Sales tax,taxes
Lent money to a friend,lent money
Paid tuition fees,education
Charity donation,miscellaneous
Haircut,personal expense
Sales tax,taxes
Bought a gift,miscellaneous
Spa treatment,personal expense
Invested in a savings bond,saving
Paid for school supplies,education
Bought a book,entertainment
Paid for photography,miscellaneous
Added to emergency fund,saving
Lent money to a friend,lent money
Ate a burger,food
Paid for school supplies,education
Bought vitamins,medical
Bought a bus ticket,transport
Bought a bus ticket,transport
Deposited in mutual funds,saving
Bought a bus ticket,transport
Bought milk,grocery
Movie tickets,entertainment
Transferred to savings,saving
House maintenance,housing
Bought a new apartment,housing
Lent money to a colleague,lent money
Filled gas,transport
House maintenance,housing
Lent money to a colleague,lent money
Gave a loan to family,lent money
Manicure,personal expense
Gave a loan to family,lent money
Haircut,personal expense
Bought vitamins,medical
Transferred to savings,saving
Savings deposit,saving
Filed tax return,taxes
Bought a perfume,personal expense
Bought a pen,miscellaneous
Lunch with colleagues,food
Transferred to savings,saving
Lent money to a colleague,lent money
Bought fruits,grocery
Bought fruits,grocery
House maintenance,housing
Bought a bus ticket,transport
Paid for school supplies,education
Bought medicine,medical
Lent money to a friend,lent money
Bought a sandwich,food
Lunch with colleagues,food
Got some snacks,grocery
Lent money to a colleague,lent money
Ate a burger,food
Bought clothes,personal expense
Bought clothes,personal expense
Invested in a savings bond,saving
Bought vegetables,grocery
Car service,transport
Paid rent,housing
Doctor visit,medical
Bought fruits,grocery
Bought a pen,miscellaneous
Bought vegetables,grocery
House maintenance,housing
Spa treatment,personal expense
Paid tuition fees,education
Weekly grocery shopping,grocery
Lunch with colleagues,food
Added to emergency fund,saving
Lent money to a friend,lent money
Metro fare,transport
Deposited in mutual funds,saving
Paid income tax,taxes
Online course,education
Gave a loan to family,lent money
Metro fare,transport
Weekly grocery shopping,grocery
Sales tax,taxes
Paid income tax,taxes
Bought textbooks,education
Manicure,personal expense
Added to emergency fund,saving
Deposited in mutual funds,saving
Bought a perfume,personal expense
Bought a video game,entertainment
Property tax payment,taxes
Invested in a savings bond,saving
Streaming subscription,entertainment
Charity donation,miscellaneous
Hospital bill,medical
Bought a gift,miscellaneous
Concert tickets,entertainment
Doctor visit,medical
Health checkup,medical
Property tax payment,taxes
Hospital bill,medical
Health checkup,medical
Bought milk,grocery
Filed tax return,taxes
Transferred money to savings account,saving
Charity donation,miscellaneous
Bought a perfume,personal expense
Bought fruits,grocery
Doctor visit,medical
Paid for school supplies,education
Gave a loan to family,lent money
Property tax payment,taxes
Deposited in mutual funds,saving
Bought milk,grocery
Sales tax,taxes
Paid for photography,miscellaneous
Sales tax,taxes
Bought a gift,miscellaneous
Had coffee,food
Lent money to a friend,lent money
Metro fare,transport
Bought a bus ticket,transport
Bought clothes,personal expense
Bought medicine,medical
Paid income tax,taxes
Online course,education
Bought a video game,entertainment
Added to emergency fund,saving
Had coffee,food
Invested in a savings bond,saving
Paid rent,housing
Movie tickets,entertainment
Paid rent,housing
Invested in a savings bond,saving
Savings deposit,saving
Enrolled in a workshop,education
Deposited in mutual funds,saving
Health checkup,medical
Charity donation,miscellaneous
Paid income tax,taxes
Lunch with colleagues,food
Streaming subscription,entertainment
Bought a new apartment,housing
Bought a book,entertainment
Uber to the office,transport
Gave a loan to family,lent money
Bought a book,entertainment
Haircut,personal expense
Lent money to a colleague,lent money
Lent money to a friend,lent money
Transferred money to savings account,saving
Office supplies,miscellaneous
Car service,transport
Sales tax,taxes
Weekly grocery shopping,grocery
Manicure,personal expense
Had coffee,food
Lunch with colleagues,food
Bought a gift,miscellaneous
Bought vitamins,medical
Car service,transport
Bought vegetables,grocery
Paid tuition fees,education
Weekly grocery shopping,grocery
Deposited in mutual funds,saving
Doctor visit,medical
Transferred to savings,saving
House maintenance,housing
Transferred to savings,saving
Dinner at a restaurant,food
Online course,education
Deposited in mutual funds,saving
Enrolled in a workshop,education
Bought a book,entertainment
Invested in a savings bond,saving
Bought textbooks,education
Mortgage payment,housing
Metro fare,transport
Concert tickets,entertainment
Bought a bus ticket,transport
Enrolled in a workshop,education
Invested in a savings bond,saving
Invested in a savings bond,saving
Mortgage payment,housing
Online course,education
Enrolled in a workshop,education
Paid tuition fees,education
Mortgage payment,housing
Uber to the office,transport
Bought textbooks,education
Office supplies,miscellaneous
Paid for school supplies,education
Added to emergency fund,saving
Lent money to a friend,lent money
Savings deposit,saving
Doctor visit,medical
Doctor visit,medical
Bought vegetables,grocery
Savings deposit,saving
Bought textbooks,education
Bought medicine,medical
Metro fare,transport
Transferred money to savings account,saving
Added to emergency fund,saving
Bought a perfume,personal expense
Movie tickets,entertainment
Gave a loan to family,lent money
Bought a bus ticket,transport
Added to emergency fund,saving
Haircut,personal expense
Bought a video game,entertainment
Health checkup,medical
Transferred money to savings account,saving
Car service,transport
Paid rent,housing
Paid rent,housing
Paid tuition fees,education
Bought a gift,miscellaneous
Filed tax return,taxes
Bought vitamins,medical
VAT payment,taxes
Hospital bill,medical
Savings deposit,saving
Gave a loan to family,lent money
Transferred to savings,saving
House repair,housing
Added to emergency fund,saving
Got some snacks,grocery
Filed tax return,taxes
Had coffee,food
Lent money to a colleague,lent money
Bought vegetables,grocery
Dinner at a restaurant,food
House repair,housing
Office supplies,miscellaneous
Sales tax,taxes
Dinner at a restaurant,food
Enrolled in a workshop,education
